Statename,CourseofStudy,ClassOfGrade,Date of Graduation,MaritalStatus,Gender,DateOfBirth,College,DeptmentCode
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1998-07-12,COLAMRUD,AERD
Lagos State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,2000-08-30,COLFHEC,HTM
Oyo State,AQUACULTURE AND FISHERIES MANAGEMENT/B.AQFM,Second Class Upper,NA,S,F,1996-12-26,COLERM,AQFM
Ogun State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2000-08-02,COLPHYS,CSC
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-06-19,COLAMRUD,AERD
Lagos State,MATHEMATICS/B.Sc.,Second Class Upper,NA,S,F,2000-03-02,COLPHYS,MTS
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-10-01,COLAMRUD,AEFM
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,M,2002-09-09,COLFHEC,NUD
Lagos State,HOME SCIENCE AND MANAGEMENT(CLOTHING & TEXTILE)/B.Sc.,Second Class Upper,NA,S,F,2000-02-02,COLFHEC,HSM
Ogun State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,1997-10-28,COLPHYS,PHS
Lagos State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1998-05-31,COLFHEC,NUD
Ogun State,NUTRITION AND DIETETICS/B.Sc.,Second Class Upper,NA,S,F,1996-02-01,COLFHEC,NUD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,2001-10-13,COLANIM,ANP
Oyo State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,2000-05-29,COLPHYS,CSC
Lagos State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,1999-02-17,COLBIOS,MCB
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1998-07-26,COLPLANT,PPCP
Ogun State,COMPUTER SCIENCE/B.Sc.,Second Class Upper,NA,S,M,1997-07-24,COLPHYS,CSC
Lagos State,MECHATRONICS ENGINEERING/B.ENGR.,Second Class Upper,NA,S,M,2002-03-22,COLENG,MTE
Ogun State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,2000-04-30,COLBIOS,MCB
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-01-21,COLAMRUD,AEFM
Ogun State,WATER RESOURCES MANAGEMENT AND AGROMETEOROLOGY (HYDROLOGY OPTION)/B.WRMA,Second Class Upper,NA,S,F,2002-10-04,COLERM,WMA
Ogun State,MICROBIOLOGY/B.Sc.,Second Class Upper,NA,S,F,2002-12-20,COLBIOS,MCB
Lagos State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,2001-03-17,COLFHEC,HTM
Lagos State,ZOOLOGY/B.SC.,Second Class Upper,NA,S,F,2002-10-13,COLBIOS,PAZ
Osun State,HOSPITALITY AND TOURISM/B.Sc.,Second Class Upper,NA,S,F,1996-08-13,COLFHEC,HTM
Lagos State,CHEMISTRY/B.Sc.,Second Class Upper,NA,S,F,2001-09-09,COLPHYS,CHM
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1997-09-25,COLAMRUD,AERD
Ogun State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1997-04-07,COLPLANT,CPT
Lagos State,FOOD SCIENCE AND TECHNOLOGY/B.Sc.,Second Class Upper,NA,S,F,2001-07-07,COLFHEC,FST
Lagos State,MATHEMATICS/B.Sc.,Second Class Upper,NA,S,M,2001-09-23,COLPHYS,MTS
Lagos State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,F,2003-01-02,COLBIOS,BCH
Lagos State,HOME SCIENCE AND MANAGEMENT(CHILD DEVELOPMENT & FAMILY STUDIES)/B.Sc.,Second Class Upper,NA,S,F,2000-04-11,COLFHEC,HSM
Oyo State,HOME SCIENCE AND MANAGEMENT(CLOTHING & TEXTILE)/B.Sc.,Second Class Upper,NA,S,F,2003-02-28,COLFHEC,HSM
Ogun State,HOME SCIENCE AND MANAGEMENT(CLOTHING & TEXTILE)/B.Sc.,Second Class Upper,NA,S,F,2002-09-27,COLFHEC,HSM
Oyo State,PHYSICS/B.Sc.,Second Class Upper,NA,S,F,2002-11-10,COLPHYS,PHS
Lagos State,ENVIRONMENTAL MANAGEMENT & TOXICOLOGY (ENV.  MGT OPTION)/B.EMT,Second Class Upper,NA,S,F,1999-02-25,COLERM,EMT
Ogun State,PHYSICS/B.Sc.,Second Class Upper,NA,S,M,2003-04-17,COLPHYS,PHS
Ogun State,BIOCHEMISTRY/B.SC.,Second Class Upper,NA,S,F,2002-06-15,COLBIOS,BCH
Oyo State,PHYSICS/B.Sc.,Second Class Upper,NA,S,F,2003-05-04,COLPHYS,PHS
Ondo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1997-06-02,COLAMRUD,AEFM
Ogun State,VETERINARY MEDICINE/DVM,Second Class Upper,NA,S,F,2000-07-19,COLVET,VET
Oyo State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,M,1999-10-04,COLAMRUD,AEFM
Lagos State,CHEMISTRY/B.Sc.,Second Class Upper,NA,S,F,2003-04-30,COLPHYS,CHM
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1998-08-05,COLAMRUD,AERD
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1999-02-19,COLPLANT,PPCP
Oyo State,MECHATRONICS ENGINEERING/B.ENGR.,Second Class Upper,NA,S,F,2002-02-02,COLENG,MTE
Lagos State,AGRICULTURE/B.AGRIC.,Second Class Upper,NA,S,F,1997-10-14,COLANIM,ANP
Ogun State,FORESTRY AND WILDLIFE MANAGEMENT (WILDLIFE OPTION)/B.FWM,Second Class Upper,NA,S,F,2001-03-10,COLERM,FWM
Oyo State,HOME SCIENCE AND MANAGEMENT(CHILD DEVELOPMENT & FAMILY STUDIES)/B.Sc.,Second Class Upper,NA,S,F,1997-05-23,COLFHEC,HSM
